# v        v_err    sigma    sigma_err
-103.856    6.691  102.304    7.642
 -66.237    1.954  133.351    2.002
-163.368    4.352   85.338    5.391
-149.808    3.766   97.437    4.396
-121.155    6.593   86.586    7.593
 -72.861    6.980   89.503    8.118
-148.424    4.890   83.942    5.683
 -91.669    4.728   79.926    5.423
-139.865    3.390   90.898    3.918
 -84.250    1.969  108.649    2.083
-167.337    4.650   75.371    5.684
 -47.917    1.908  138.148    2.004
-169.257    4.004   69.471    5.057
-158.490    4.474   82.426    5.406
 -54.812    1.805  135.897    1.864
 -36.289    1.715  139.435    1.722
-134.372    6.188   81.662    7.341
-115.718    7.711   97.791    8.968
-150.035    4.783   66.934    5.963
-127.854    4.686   61.132    5.924
-133.297    6.100  102.515    6.982
-105.745    5.163   87.674    5.987
-159.707    4.047   72.793    5.071
 -74.848    3.719  102.235    4.227
 -73.158    4.532   88.247    5.157
 -47.998    5.935   85.088    6.880
 -49.793    6.220   92.527    7.289
-136.456    4.819   66.348    5.932
 -50.043    5.670   81.992    6.756
-144.180    5.780  104.218    6.657
 -42.939    6.596   96.714    7.492
 -56.234    5.612   83.852    6.653
 -31.559    5.167  120.289    5.880
 -46.342    5.656   86.358    6.713
-127.843    5.567   79.760    6.534
 -57.627    2.416   85.364    2.815
-103.593    2.533   87.974    2.902
 -63.911    1.870   94.525    2.145
 -86.229    5.210   93.508    5.772
-140.495    5.966  120.926    6.566
-160.886    4.045   98.550    4.780
-148.392    3.449   89.207    3.955
 -94.778    2.273   95.659    2.614
 -81.512    3.682   95.380    4.156
-111.705    7.461   98.260    8.708
 -43.519    6.469   96.695    7.271
 -51.759    1.980  119.869    2.207
  -9.317    4.392   95.066    5.225
   0.241    4.322  113.540    4.785
-160.112    4.653   82.455    5.648
 -36.464    5.364   98.882    5.974
-150.470    4.970   84.586    5.945
-123.427    2.806  106.657    3.094
-129.500    2.821  105.576    3.192
-182.888    4.250   78.582    5.101
-106.819    2.776  112.570    2.821
-138.583    3.098  109.724    3.501
-164.871    4.207   64.506    5.323
 -80.455    1.949  119.358    2.057
-166.265    4.150   77.900    5.020
-159.592    3.796   89.005    4.425
-105.368    2.538  111.805    2.844
-144.098    3.421   95.178    4.061
 -57.911    1.794  137.929    1.829
   7.236    2.285  128.604    2.528
  -9.924    1.657  139.731    1.685
   7.768    2.431  117.440    2.782
 -27.743    1.503  136.491    1.586
  -0.873    2.060  133.942    2.214
   6.469    2.629  121.092    2.966
   2.113    1.941  138.069    1.999
 -91.947    2.399  115.728    2.528
-159.798    4.454   86.704    5.311
-138.927    3.687   95.848    4.229
 -71.115    1.850  130.198    1.940
   0.852    3.108  109.652    3.578
  -2.382    1.773  135.181    1.903
 -22.893    5.635  112.668    6.168
  -7.307    4.556  109.640    5.213
 -17.646    5.385  122.118    5.833
 -17.002    1.758  140.984    1.865
 -47.123    1.853  136.704    1.871
 -35.682    1.883  142.979    1.881
 -44.725    6.444   98.658    7.441
 -19.083    4.949   94.354    5.925
 -10.883    4.794   89.331    5.783
  -1.231    3.912  126.269    4.351
 -83.293    2.359  129.410    2.547
  -4.643    1.605  139.043    1.654
 -52.757    1.784  138.129    1.842
 -31.242    1.659  145.088    1.732
 -63.778    1.690  113.230    1.897
-161.626    4.337   78.851    5.317
-104.289    4.957   83.347    5.842
-142.923    5.200   94.302    5.941
-156.805    4.082   94.311    4.697
 -46.648    1.456  107.328    1.656
-139.248    6.340   85.304    7.319
-146.322    5.733   75.035    6.781
-148.788    6.121   89.752    7.110
-145.870    3.288   86.428    3.792
-120.441    6.563   94.898    7.495
-135.041    7.143  126.786    7.789
 -78.673    3.637   83.485    4.251
-166.513    4.606   92.458    5.455
 -39.119    3.587   81.436    4.353
 -78.307    1.588  102.515    1.739
 -33.590    7.548  128.289    8.573
 -39.172    6.241   87.878    7.170
 -25.461    5.321   85.377    6.391
 -41.007    5.776   85.722    6.812
 -79.639    2.176  102.683    2.472
 -47.910    2.162   99.184    2.477
-124.293    6.415   84.028    7.489
 -32.563    6.305  102.398    7.016
 -53.772    1.008   97.927    1.138
 -45.071    1.246  109.840    1.413
-137.133    6.439  105.657    7.309
-158.379    5.161   89.936    6.132
-173.963    4.409   80.440    5.263
-117.364    6.904   83.599    8.400
-163.276    4.525   80.011    5.602
-168.297    4.600   85.570    5.599
-135.931    5.314   78.753    6.249
-125.247    3.115  111.538    3.512
-117.095    2.939  112.604    3.195
 -64.358    0.874   84.880    1.016
 -39.862    3.967   96.345    4.604
  -0.125    4.147  104.824    4.889
-125.649    3.502  117.032    4.004
-111.765    2.804  115.822    2.944
-152.709    4.310  105.075    4.754
 -75.359    2.276  128.598    2.452
-163.301    4.443  100.823    5.017
 -62.303    1.858  131.361    1.912
-141.966    3.801  101.791    4.401
 -98.052    2.530  113.650    2.585
-165.041    5.410   88.045    6.492
-103.490    1.937   96.708    2.213
-145.268    5.063   71.387    6.068
 -18.172    1.683  140.633    1.779
  -4.009    4.283  129.605    4.644
  -0.888    1.654  135.466    1.745
 -92.682    4.904   94.363    5.647
 -10.157    4.896   95.691    5.697
 -77.935    0.811   75.277    0.941
 -31.793    5.740   90.630    6.731
 -59.408    1.436  118.525    1.601
 -19.762    5.251  102.815    6.104
-137.196   10.291  130.942   11.483
-143.866    5.688   80.410    6.682
-127.401    8.384  152.996    8.974
 -63.394    1.204  107.128    1.363
-120.913    6.643   93.064    7.708
-144.290    7.727  131.453    8.724
-170.965    4.159   72.924    5.141
-172.160    4.340   74.586    5.276
-138.280    3.967  105.629    4.467
-177.121    4.633   86.869    5.584
-150.744    4.404   83.696    5.242
-113.893    2.672   94.255    3.064
-144.084    6.215   97.087    7.322
-147.983    5.505   83.323    6.647
 -91.962    2.585  121.155    2.880
-161.036    3.874   87.516    4.599
-173.044    4.335   70.499    5.469
-143.632    4.101  104.668    4.607
-114.538    2.112   97.326    2.449
-139.857    5.882   79.741    6.910
 -69.161    2.202  125.331    2.395
 -38.966    1.893  139.947    1.924
 -45.916    1.908  139.462    1.953
 -41.066    5.370   77.297    6.473
  11.464    2.279  123.121    2.514
 -13.629    5.091  100.450    5.633
  18.312    2.327  114.030    2.475
   8.729    2.095  133.139    2.252
 -20.791    5.094   89.448    6.016
 -28.078    1.775  143.727    1.767
 -81.970    2.534  120.043    2.630
  12.970    2.384  108.041    2.807
  11.970    2.004  128.382    2.094
 -55.133    2.095  137.399    2.162
   1.349    4.336  111.428    4.954
  -1.301    1.741  140.482    1.840
  15.862    3.032  118.107    3.379
  12.460    1.800  134.824    1.921
  -1.674    4.315   99.898    5.121
 -17.896    1.826  141.820    1.847
 -33.477    1.088   96.856    1.242
 -28.765    1.419  117.345    1.600
 -32.001    5.289   82.942    6.243
 -29.110    5.235   74.954    6.213
 -46.800    0.944   84.289    1.041
 -34.593    1.656  118.841    1.837
  21.271    3.377  105.928    3.956
 -15.351    1.376  109.338    1.567
 -80.145    0.941   92.054    1.063
-100.651    1.057   74.396    1.244
 -19.298    4.980   91.043    5.923
  -7.422    4.417   99.645    4.834
 -19.837    5.441  100.907    6.233
 -41.423    1.904   97.665    2.187
  14.314    4.053   98.269    4.839
 -31.946    6.052   88.715    6.938
 -88.502    1.597  115.657    1.804
 -20.970    5.607   91.883    6.568
   0.274    4.617   92.035    5.295
 -34.340    2.957   94.731    3.470
  18.263    3.457   96.425    3.924
   3.727    1.732  138.973    1.790
-164.389    5.904   96.481    6.979
-154.437    4.400   75.703    5.238
-135.706    2.837   85.977    3.345
-127.213    4.826   79.348    5.699
-148.330    5.772   83.356    6.785
-130.725    7.303   99.705    8.605
-125.654    5.324   65.482    6.535
-100.193    0.849   60.467    1.077
-171.548    3.762   60.133    4.715
-169.846    3.988   63.021    5.102
-153.444    4.317  102.065    5.057
-136.306    7.083  111.202    8.060
-175.165    4.955   77.236    6.052
 -78.519    0.848   65.961    1.046
 -30.145    5.347   77.225    6.195
-101.073    1.038   94.154    1.220
-142.918    7.339  120.788    8.204
-138.513    5.088   75.379    6.102
-163.557    4.038   74.729    4.993
-165.833    4.562   83.463    5.646
-120.881    3.107   90.957    3.622
-111.887    3.361  125.538    3.777
-129.114    3.437  111.160    3.998
-149.110    5.913   82.214    7.167
-131.426    3.923  115.838    4.462
 -99.938    2.890  114.439    3.204
-155.277    3.882   77.695    4.714
-152.367    4.335   81.849    5.327
 -60.499    2.201  130.608    2.372
 -78.602    2.484  126.574    2.688
-131.300    3.609  104.720    4.201
 -90.535    3.074  119.837    3.255
 -71.516    1.372  116.753    1.527
-151.663    4.437   68.556    5.551
-171.269    4.097   70.874    5.022
-168.482    4.605   72.691    5.511
-159.240    5.477   73.250    6.549
-108.221    1.711   96.032    1.976
 -88.504    1.261  112.834    1.408
-121.292    1.694   93.139    1.987
 -68.992    0.688   62.614    0.853
-168.389    4.053   74.381    5.006
-162.334    4.424   67.639    5.692
-132.045    3.279  104.047    3.770
-142.126    4.362   93.401    5.075
-144.901    4.287   72.732    5.304
-118.853    0.834   81.888    0.986
-153.856    5.815   77.030    6.884
-154.129    6.214   81.807    7.401
-160.882    4.475   82.427    5.362
 -94.753    0.746   61.199    0.945
-152.986    5.195   81.470    6.277
 -39.814    0.899   88.626    1.009
-153.364    5.900   90.643    6.788
-141.559    4.170   93.741    4.882
 -88.890    2.908  120.687    3.173
-169.120    3.888   60.912    4.932
 -26.345    5.342  100.660    6.217
 -36.339    2.060  141.559    2.122
-116.384    0.700   56.792    0.916
-151.106    5.186   73.669    6.375
-163.754    4.242   59.102    5.563
-168.968    4.452   83.214    5.485
-151.211    3.878   71.581    4.791
-154.341    5.972   81.787    7.140
-163.444    5.931  106.135    6.910
-162.073    4.440   90.212    5.405
-137.560    4.267   80.241    5.298
-100.555    1.245  106.383    1.427
 -23.504    6.236   95.895    7.447
 -19.588    6.499  104.802    7.646
 -28.021    1.843  113.750    2.053
  -4.140    5.078  120.204    5.288
 -93.420    0.666   68.652    0.818
 -33.739    5.942   91.337    6.646
   7.275    4.679  132.307    4.985
-147.393    5.389   77.620    6.492
-167.117    4.656   43.348    6.783
-155.204    5.788   90.808    6.912
