# v        v_err    sigma    sigma_err
  38.529    2.906  245.174    2.852
  55.044    3.708  251.255    3.571
   9.213    2.946  245.976    2.890
  55.885    3.453  247.018    3.337
  61.076    3.800  229.454    3.763
  46.612    3.486  244.003    3.324
 -77.149    4.077  233.932    3.979
 -80.162    5.163  246.350    5.037
 -80.019    4.876  235.925    4.775
 -73.389    3.624  240.044    3.535
  56.333    3.680  227.683    3.689
  44.164    3.566  244.457    3.481
  39.192    5.196  235.635    5.037
  50.456    4.266  218.656    4.263
  40.715    4.498  224.710    4.342
  27.052    2.863  245.243    2.826
 -23.228    3.058  230.132    3.042
 -21.985    3.404  249.670    3.312
  24.381    4.972  223.015    4.875
  39.570    4.771  235.571    4.598
  44.282    5.095  239.573    4.977
  53.724    4.092  234.558    4.060
 -74.607    3.946  233.939    3.858
  47.099    3.340  238.908    3.253
 -47.253    3.805  249.830    3.670
  -2.710    3.602  264.241    3.426
 -31.904    5.482  228.768    5.411
 -19.153    5.428  207.455    5.325
 -75.073    5.240  217.441    5.222
 -35.346    5.483  223.400    5.461
 -71.636    5.240  220.711    5.156
 -82.563    4.857  217.456    4.748
  -4.489    5.605  220.173    5.383
 -58.811    5.696  225.609    5.638
 -52.649    5.474  217.215    5.424
 -62.575    5.239  198.438    5.249
 -82.734    4.933  235.342    4.804
 -39.007    5.599  221.880    5.580
 -66.146    5.191  210.125    5.281
 -15.276    5.214  207.815    5.232
 -76.229    5.694  232.956    5.521
  20.487    5.058  211.768    4.982
 -28.769    5.214  216.900    5.323
  17.544    5.460  220.651    5.376
  38.586    4.969  219.475    4.912
  31.773    4.685  213.614    4.680
  17.899    5.131  208.352    5.132
 -16.274    5.908  220.594    5.825
   8.451    5.717  223.938    5.846
 -39.240    5.385  215.263    5.407
 -46.341    5.018  214.683    5.029
  27.234    4.687  207.873    4.690
 -14.338    5.378  213.516    5.337
 -22.162    5.543  225.861    5.470
  10.732    5.641  223.741    5.590
 -14.873    5.518  207.688    5.677
 -61.061    5.014  203.587    5.146
 -74.054    4.727  202.655    4.744
 -73.525    5.436  218.392    5.403
 -51.333    5.579  239.476    5.020
 -79.699    5.306  230.909    5.161
 -90.773    5.198  211.427    5.169
 -68.329    5.287  219.410    5.177
 -86.505    4.543  225.484    4.442
 -81.295    4.809  236.496    4.654
 -35.464    5.451  225.211    5.383
   7.555    5.158  201.380    5.233
  17.836    5.128  218.810    4.985
  50.646    4.388  230.135    4.302
 -85.763    4.573  217.817    4.532
 -82.475    4.355  234.992    4.264
 -86.394    5.278  236.902    5.069
 -73.965    4.458  256.781    4.202
 -79.223    4.913  237.847    4.688
 -50.856    3.566  225.185    3.559
 -79.032    4.977  233.016    4.914
 -78.230    4.156  221.576    4.152
 -83.598    5.311  223.486    5.104
 -42.645    5.313  210.519    5.290
 -72.012    4.883  201.257    4.939
  19.209    3.196  269.017    3.009
  61.535    4.503  239.904    4.394
  46.738    3.144  233.813    3.114
 -30.674    5.325  208.599    5.428
  43.343    4.768  226.209    4.676
  -7.067    5.908  223.786    5.700
